class,title,wiki
0,Hereditary neuralgic amyotrophy,hereditary neuralgic amyotrophy (hna) neuralgic disorder characterized nerve damage muscle atrophy preceded severe pain.[1] it caused mutation sept9 gene (17q25). while much known disorder characterized similar parsonage-turner syndrome prognosis.[2] for comprehensive overview hereditary idiopathic neuralgic amyotrophy consequences patients: please see pdf file link bottom page.
0,Adelaide di Borgogna,adelaide di borgogna ossia ottone re d'italia (adelaide burgundy otto king italy) two-act opera composed gioachino rossini (contributions michele carafa) libretto giovanni schmidt. it premired teatro argentina rome 27 december 1817.[1]
0,Adelaide Women's Prison,the adelaide women'prison maximum security australian prison facility located northfield south australia australia.
0,Cirsoid aneurysm,a cirsoid aneurysm dilation group blood vessels due congenital malformations av (arterio venous) shunting.
0,RAG1,the recombination-activating genes (rags) encode enzymes play important role rearrangement recombination genes immunoglobulin t cell receptor molecules process vdj recombination. there two recombination-activating gene products known rag-1 rag-2 whose cellular expression restricted lymphocytes developmental stages. rag-1 rag-2 essential generation mature b t lymphocytes two cell types crucial components adaptive immune system.[1]
0,Adenanthera bicolor,adenanthera bicolor species legume fabaceae family. it found malaysia[1] sri lanka.
0,Adelardo Lopez de Ayala y Herrera,adelardo l_pez de ayala y herrera (18281879) spanish writer politician.
0,Diprosopus,"diprosopus (greek _ ""two-faced"" _- di- ""two"" _ pr_sopon [neuter] ""face"" ""person""; latin ending) also known craniofacial duplication (cranio- greek ___ ""skull"" parts latin) extremely rare congenital disorder whereby parts (accessories) face duplicated head.[1][2][3][4][5][6]"
0,Adel Fattouh Aly Ahmed Algazzar,adel fattough ali al gazzar (arabic: __ ___ ) citizen egypt formerly held united states guantanamo bay detainment camps cuba.[2] the department defense reports born october 22 1965 cairo egypt.
0,Multiple abnormalities,when patient multiple abnormalities (multiple anomaly multiple deformity) congenital abnormality primarily identified single system body single disease process. most medical conditions systemic sequelae multiple abnormalities occur effects multiple systems immediately obvious.
0,Migraine aura without headache,acephalgic migraine (also called acephalalgic migraine migraine aura without headache amigrainous migraine isolated visual migraine optical migraine) neurological syndrome. it relatively uncommon variant migraine patient may experience aura nausea photophobia hemiparesis migraine symptoms experience headache.[1] it generally classified event fulfilling conditions migraine aura (minimal) headache.[2][3] it sometimes distinguished visual-migraine aura without headache also called ocular migraine.[4]
0,http://en.wikipedia.org/wiki/Gerald%20Tyrwhitt%2DWilson%2014th%20Baron%20Berners ,gerald hugh tyrwhitt-wilson 14th baron berners[1] (18 september 1883&#160; 19 april 1950) also known gerald tyrwhitt british composer classical music novelist painter aesthete. he usually referred lord berners.
0,Hematocolpos,hematocolpos medical condition vagina fills menstrual blood. it often caused combination menstruation imperforate hymen.[1][2] sometimes seen robinow syndrome.
0,Adelaide-Mannum Road,adelaidemannum road road runs northern adelaide hills south australian capital adelaide mannum murray river. it designated state highway a10 metropolitan area b10 rural areas 77 kilometres length. it named two centres links. the 22&#160;km stretch houghton adelaide known north east road.
0,Adem Atay,* senior club appearances goals counted domestic league .
0,MMWR,the morbidity mortality weekly report weekly epidemiological digest united states published centers disease control prevention (cdc). it main vehicle publishing public health information recommendations received cdc state health departments. material published report public domain may reprinted without permission.[1] as 2009[update] journal'editor--chief ronald moolenaar.[2]
0,Rudy Santos,rudy santos born 1953 known stage name octoman man philippines suffers rare condition known parasitic twin. he oldest recorded person history ever live .[1]
0,Paraosmia,parosmia greek &lt; para = osmi also known troposmia (gk.) cacosmia (gk.) olfactory dysfunction characterized inability brain properly identify odors natural smell.[1] what happens instead natural odor transcribed often described unpleasant aroma typically burned rotting fecal chemical smell.[2] there instances however pleasant odors. this specifically called euosmia (gk.).[3]
0,Rheum Dis Clin North Am,rheumatic diseases clinics north america medical journal addressing topics rheumatology.
0,Aniseikonia,aniseikonia ocular condition significant difference perceived size images. it occur overall difference two eyes difference particular meridian.[1]
0,Powassan,powassan municipality canadian province ontario located near north bay. powassan located almaguin highlands region parry sound district easternmost boundary nipissing district.
0,Lobar pneumonia,lobar pneumonia form pneumonia affects large continuous area lobe lung.[1]
0,Physical addiction,"physical dependence refers state resulting chronic use drug produced tolerance negative physical symptoms[4] withdrawal result abrupt discontinuation dosage reduction.[5] physical dependence develop low-dose therapeutic use certain medications benzodiazepines opioids antiepileptics antidepressants well misuse recreational drugs alcohol opioids benzodiazepines. the higher dose used greater duration use earlier age use began predictive worsened physical dependence thus severe withdrawal syndromes. acute withdrawal syndromes last days weeks months. protracted withdrawal syndrome also known post-acute-withdrawal syndrome ""paws"" low-grade continuation symptoms acute withdrawal typically remitting-relapsing pattern often resulting relapse prolonged disability degree preclude possibility lawful employment. protracted withdrawal syndrome last months years depending individual factors indefinitely. protracted withdrawal syndrome noted often caused benzodiazepines.[6]"
0,Dutch disease,in economics dutch disease apparent causal relationship increase economic development specific sector (example natural resources) decline sectors (like manufacturing sector agriculture). the putative mechanism revenues increase growing sector (inflows foreign aid) given nation'currency becomes stronger (appreciates) compared currencies nations (manifest exchange rate). this results nation'exports becoming expensive countries buy imports becoming cheaper making sectors less competitive.
0,Fissured Tongue,"fissured tongue (also known ""scrotal tongue"" ""lingua plicata"" ""plicated tongue""[1]:1038 ""furrowed tongue""[2]:800) benign condition characterized deep grooves (fissures) dorsum tongue. although grooves may look unsettling condition usually painless. some individuals may complain associated burning sensation.[3]"
0,Adelmo Bulgarelli,adelmo bulgarelli (born march 23 1932) italian wrestler olympic medalist greco-roman wrestling.
0,Actinic granuloma,"actinic granuloma (also known ""o'brien granuloma"") cutaneous condition characterized histologically dermal infiltrate macrophages.[1]:706"
0,Bicornuate uterus,"a bicornuate uterus bicornate uterus (latin corn meaning ""horn"") commonly referred ""heart-shaped"" uterus uterus composed two ""horns"" separated septum. in humans bicornuate uterus type uterine malformation mammalian species including rodents pigs normal."
0,Aden Sugow,aden ahmed sugow kenyan politician. he belongs kenya african national union elected represent fafi constituency national assembly kenya since kenyan parliamentary election 2007.[1]
0,Follicular atrophoderma,follicular atrophoderma skin condition consisting follicular indentations without hairs notably occurring extensor surfaces hands legs arms.[1]:579[2]
0,Tuberculous chancre,"primary inoculation tuberculosis (also known ""cutaneous primary complex""[1] ""primary tuberculous complex""[2] ""tuberculous chancre""[1]) skin condition develops site inoculation tubercle bacilli tuberculosis-free individual.[2]:334"
0,Hepa,high-efficiency particulate arrestance (hepa)[1][2] also sometimes called high-efficiency particulate arresting high-efficiency particulate air type air filter. filters meeting hepa standard many applications including use medical facilities automobiles aircraft homes. the filter must satisfy certain standards efficiency set united states department energy (doe). to qualify hepa us government standards air filter must remove (air passes ) 99.97% particles size 0.3&#160;m.[3]
0,Psychophysiologic Disorders,psychosomatic medicine interdisciplinary medical field exploring relationships among social psychological behavioral factors bodily processes quality life humans animals.
0,Palatal obturator,"a palatal obturator prosthesis totally occludes opening oronasal fistula (roof mouth). they similar dental retainers without front wire. palatal obturators typically short-term prosthetics used close defects hard/soft palate may affect speech production cause nasal regurgitation feeding. following surgery may remain residual orinasal opening palate alveolar ridge labial vestibule. a palatal obturator may used compensate hypernasality aid speech therapy targeting correction compensatory articulation caused cleft palate. in simpler terms palatal obturator covers fistulas (""holes"") roof mouth lead nasal cavity providing wearer plastic/acrylic removable roof mouth aids speech eating proper air flow."
0,Adepalli,adepalli village southern state karnataka india.[1][2] it located chintamani taluk kolar district karnataka.
0,Adam Smoluk,adam smoluk (born june 17 1980) canadian screenwriter director actor. his work often explores themes alienation isolation. he cited jim thompson james m. cain eugene o'neill influences.
0,cognitive impairment,"clouding consciousness also known brain fog mental fog[1][2][3][4][5] term used conventional medicine denoting abnormality regulation overall level[6] consciousness mild less severe delirium. the sufferer experiences subjective sensation mental clouding described feeling ""foggy"".[7]"
0,Nodular amyloidosis,primary cutaneous amyloidosis form amyloidosis associated oncostatin m receptor.[1][2] this type amyloidosis divided following types:[3]:520
0,FRNS,the royal numismatic society (rns) learned society charity based london united kingdom promotes research branches numismatics. its patron 2014[update] queen elizabeth ii.
0,Meningohydroencephalocoele,meningohydroencephalocoele (ame: meningohydroencephalocele) form meningocele (ame) - developmental abnormality central nervous system.
0,H5N1,"influenza a virus subtype h5n1 also known a(h5n1) simply h5n1 subtype influenza a virus cause illness humans many animal species.[1] a bird-adapted strain h5n1 called hpai a(h5n1) highly pathogenic avian influenza virus type a subtype h5n1 highly pathogenic causative agent h5n1 flu commonly known avian influenza (""bird flu""). it enzootic (maintained population) many bird populations especially southeast asia. one strain hpai a(h5n1) spreading globally first appearing asia. it epizootic (epidemic nonhumans) panzootic (affecting animals many species especially wide area) killing tens millions birds spurring culling hundreds millions others stem spread. many references ""bird flu"" h5n1 popular media refer strain.[2]"
0,cluttering,cluttering (also called tachyphemia tachyphrasia) speech communication disorder characterized rapid rate making speech difficult understand erratic rhythm poor syntax grammar words groups words unrelated sentence.
0,Adelaide of Montferrat,adelaide del vasto (adelasia azalas) (c.1075  16 april 1118) third wife roger i sicily mother roger ii sicily well queen consort jerusalem due later marriage baldwin i jerusalem third wife.
0,Adem huskic,adem huski (born 1955 bugojno) member house representatives bosnia herzegovina. he member party bosnia herzegovina led haris silajd_i. in 2009 called official recognition january 27 holocaust remembrance day july 11 srebrenica genocide remembrance day.[1] his proposal voted bosnian serb mps. also together mps remzija kadri ekrem ajanovi proposed bh parliament change criminal code bosnia herzegovina holocaust genocide crimes humanity denial would criminalized. [2] huski commemorated passing marek edelman famous warsaw ghetto commander friend bosnia &amp; herzegovina [3] on 12.022010 huskic'initiative mark 27 january holocaust remembrance day finally passed first stage parliament procedure almost year resistance serb delegates.[4]
0,Adelgatan,adelgatan together _stergatan v_stergatan malm_'main street middle ages.
0,Dynavox,dynavox mayer-johnson (otc pink: dvoxq) u.s.-based developer manufacturer distributor speech generating devices headquartered pittsburgh pennsylvania. the company formed 1983 since become leading provider speech communication devices symbol-adapted special education software[citation needed] used assist individuals overcoming speech language learning challenges. dynavox mayer-johnson'stated mission enable children adults reach educational potential experience greater quality life maximizing persons ability communicate learn. the company'best-known products include maestro eyemax system communication solutions boardmaker software family suite tools allow educational curriculum activities adapted meet range student learning cognitive physical needs.
0,Adelmar Tavares,adelmar tavares da silva (recife february 16 1888 - june 20 1963 rio de janeiro) lawyer magistrate jurist professor poet recife. he member brazilian societies devoted criminology law. as poet respected several poems becoming songs. in 1948 became president academia brasileira de letras.
0,Pruritic folliculitis of pregnancy,pruritic folliculitis pregnancy dermatosis pregnancy characterized small follicular pustules scattered widely trunk appearing second third trimester resolving 2 3 weeks delivery.[1][2]
0,CPVT,catecholaminergic polymorphic ventricular tachycardia (cpvt) rhythm disorder ventricles heart occurs genetically predisposed individuals. synonyms: familial polymorphic ventricular tachycardia (fpvt) catecholamine-induced polymorphic ventricular tachycardia. thought affect many one ten thousand people estimated cause 15% unexplained sudden cardiac deaths young people.
0,CRIE,ichthyosis en confetti also known ichthyosis confetti congenital reticular ichthyosiform erythroderma (crie) ichthyosis variegata[1] rare form congenital ichthyosis healthy patches normal skin co-exist within abnormal skin areas.[2] the condition caused frameshift mutation keratin 10 gene (krt10);[3] mutant keratin 10 accumulates nucleolus sub-nuclear structure rather within cellular intermedite filaments like wild-type protein. children condition exhibit red flaky skin; however reasons yet totally clear wild type clonal patches skin start appear place red flaky skin. due clonal nature growth normal skin cells appears patient covered confetti hence name condition.[3] it hypothesized result combination mitotic recombination natural selection within skin.[4]
0,Parasitic pneumonia,parasitic pneumonia infection lungs parasites. it rare cause pneumonia occurring almost exclusively immunocompromised persons (persons weakened absent immune system). this respiratory infection may may serious.
0,cams,the california academy mathematics science (cams) public magnet high school carson california united states focusing science mathematics. its california api scores fourth-highest state.
0,Photosensitivity,photosensitivity amount object reacts upon receiving photons especially visible light. in medicine term principally used abnormal reactions skin two types distinguished photoallergy phototoxicity.[1][2] the photosensitive ganglion cells mammalian eye separate class light-detecting cells photoreceptor cells function vision.
0,Adelopoma stolli,adelopoma stolli species land snail operculum terrestrial gastropod mollusk family cyclophoridae.
0,EPIDERMOLYSIS BULLOSA SIMPLEX,epidermolysis bullosa simplex (ebs) disorder resulting mutations genes encoding keratin 5 keratin 14.[1]:598
0,CHHS,collins hill high school high school gwinnett county near suwanee georgia. the school operated gwinnett county public schools. the school feeds creekland middle school.
0,Congenital epulis,the congenital epulis proliferation cells upper jaw birth. this commonly found female babies. the cause type epulis unknown.
0,Adelbrecht,"adelbrecht speaking interactive robot form ball designed martin spanjaard (born 1952 haarlem netherlands).
a first simple version adelbrecht presented 1985. martin spanjaard chose name 'adelbrecht' connotation 'stupid' 'stubborn' described character robot would display.
starting 1988 second powerful version developed. it detected several different 'situations' like: sleeping waking rolling bumping stuck petted etcetera. together variables nicknames like 'lust' 'fatigue' enabled adelbrecht say things connection actual situation near past.
in 1992 got honourable mentioning prix ars electronica. its last performance newyears eve 2000 never happened serious hardware failure. since martin spanjaard proclaimed adelbrecht 'dead robot'."
0,Nanoshells,a nanoshell rather nanoshell plasmon type spherical nanoparticle consisting dielectric core covered thin metallic shell (usually gold).[1] these nanoshells involve quasiparticle called plasmon collective excitation quantum plasma oscillation electrons simultaneously oscillate respect ions.
0,third heart sound,"the third heart sound s3 rare extra heart sound occurs soon normal two ""lub-dub"" heart sounds (s1 s2). s3 associated heart failure."
0,urethral stricture,a urethral stricture narrowing urethra caused injury instrumentation infection certain non-infectious forms urethritis.[1]
0,AGXT,1h0c 1j04 2yob 3r9a 4cbr 4cbs 4i8a 4kxk 4kyo
0,ANEC,anec may also refer :
0,Toxocara canis,toxocara canis (also known dog roundworm) worldwide-distributed helminth parasite dogs canids. toxocara canis gonochoristic adult worms measure 9 18&#160;cm yellow-white color occur intestine definitive host. in adult dogs infection usually asymptomatic. by contrast massive infection toxocara canis fatal puppies.[1][2]
0,ATRT,atypical teratoid rhabdoid tumor (at/rt) rare tumor usually diagnosed childhood. although usually brain tumor at/rt occur anywhere central nervous system (cns) including spinal cord. about 60% posterior cranial fossa (particularly cerebellum). one review estimated 52% posterior fossa 39% spnet (supratentorial primitive neuroectodermal tumors) 5% pineal 2% spinal 2% multi-focal.[1]
0,Venous ulcer,venous ulcers (venous insufficiency ulceration stasis ulcers stasis dermatitis varicose ulcers ulcus cruris) wounds thought occur due improper functioning venous valves usually legs (hence leg ulcers).[1]:846 they major occurrence chronic wounds occurring 70% 90% leg ulcer cases.[2] venous ulcers develop mostly along medial distal leg painful.
0,AFLP,aflp-pcr aflp pcr-based tool used genetics research dna fingerprinting practice genetic engineering. developed early 1990s keygene[1] aflp uses restriction enzymes digest genomic dna followed ligation adaptors sticky ends restriction fragments. a subset restriction fragments selected amplified. this selection achieved using primers complementary adaptor sequence restriction site sequence nucleotides inside restriction site fragments (described detail ). the amplified fragments separated visualized denaturing polyacrylamide gels either autoradiography fluorescence methodologies via automated capillary sequencing instruments.
0,AFAP,the australian federation air pilots (afap) professional association industrial organisation commercial pilots australia.[1]
0,Adelaide of Saxe-Meiningen,adelaide saxe-meiningen (adelaide amelia louise theresa caroline; 13 august 1792  2 december 1849) queen consort united kingdom hanover spouse william iv united kingdom. adelaide capital city south australia named .[1]
0,Adelaide class frigate,the adelaide class ship class six guided missile frigates constructed australia united states america service royal australian navy. the class based united states navy'oliver hazard perry-class frigates modified australian requirements. the first four vessels built united states two constructed australia.
0,Ijara District,ijara former administrative district north eastern province kenya. on may 20 2000 carved larger garissa district. it covered area 11332 km2 according population census 1999 population 62571.[1] it bordered garissa district north lamu district south tana river district west somalia northeast. the district one local authority ijara county council one constituency ijara constituency. in 2010 amalgamated garissa county.
0,Hematometra,hematometra hemometra medical condition involving collection retention blood uterus. it commonly caused imperforate hymen transverse vaginal septum.
0,Blood group,thirty-five major blood group systems (including ab rh systems) recognised international society blood transfusion (isbt) october 2012.[1] in addition abo antigens rhesus antigens many antigens expressed red blood cell surface membrane. for example individual ab rhd positive time m n positive (mns system) k positive (kell system) lea leb positive (lewis system). many blood group systems named patients corresponding antibodies initially encountered.
0,Tooth Resorption,tooth resorption process part tooth structure lost due activation body'innate capacity remove mineralized tissue mediated via cells osteoclasts. types include external resorption internal resorption. it due trauma infection hyperplasia.[1]
0,Dermatosparaxis,hereditary equine regional dermal asthenia (herda) aka hyperelastosis cutis (hc) inherited autosomal recessive connective tissue disorder. it develops homozygous recessive mutation weakens collagen fibers allow skin animal stay connected rest animal. affected horses extremely fragile skin tears easily exhibits impaired healing. in horses hc skin separates deep superficial dermis. there cure. most affected individuals receive injury cannot heal euthanized. managed breeding strategy currently option reducing incidence disease.
0,Adema's 4th studio album,kill headlights fourth studio album adema released august 21 2007.
0,Riggs' disease,riggs' disease also known pyorrhea toothsocket gingivitis expulsiva historical term periodontitis (gum disease)[1][2] the condition described purulent inflammation dental periosteum. it named american dentist john w. riggs (18111885).[3]
0,Adelsoe,adels_ island middle lake m_laren sweden near southern northern bj_rkfj_rden. the administrative center important settlement birka (neighbouring island bj_rk_) situated hovgrden adels_.
0,lathyrism,lathyrism neurolathyrism neurological disease humans domestic animals caused eating certain legumes genus lathyrus. this problem mainly associated lathyrus sativus (also known grass pea kesari dal khesari dal almorta) lesser degree lathyrus cicera lathyrus ochrus lathyrus clymenum[1] containing toxin odap.
0,Adenbuttel,adenb_ttel municipality gifhorn district lower saxony germany. it member municipality samtgemeinde papenteich. the municipality adenb_ttel includes villages adenb_ttel rolfsb_ttel
0,Pelvic digit,a pelvic digit pelvic finger pelvic rib rare congenital abnormality humans bone tissue develops soft tissue near pelvis resembling rib finger often divided one segments pseudo-articulations. pelvic digits typically benign asymptomatic usually discovered accidentally. approximately 41 cases reported.[1]
0,Cleft hand,"ectrodactyly split hand cleft hand[1] derived greek ektroma (abortion) daktylos (finger) = literally abortion () finger[2] involves deficiency absence one central digits hand foot also known split hand/split foot malformation (shfm).[3] the hands feet people ectrodactyly often described ""claw-like"" may include thumb one finger (usually either little finger ring finger syndactyly two) similar abnormalities feet.[4]"
0,Adei Ad,adei ad (hebrew: ___ ___ lit. for always) israeli outpost west bank. it near shvut rachel qusra falls jurisdiction mateh binyamin regional council. a resident adei ad says outpost includes 40 families. adei ad gained international attention january 2015 residents allegedly engaged throwing rocks delegation u.s. embassy.[1]
0,Lichen myxedematosus,lichen myxedematosus group cutaneous disorders considered mucinoses.[1][2]:183 conditions included group :[2]:183
0,Meromelia,meromelia birth defect characterized lacking part one limbs presence hand foot. it results shrunken deformed extremity. [1]
0,PHKA2,phosphorylase b kinase regulatory subunit alpha liver isoform enzyme humans encoded phka2 gene.[1][2]
0,Superior limbic keratoconjunctivitis,superior limbic keratoconjunctivitis ocular surface disease characterized episodes recurrent inflammation superior cornea limbus well superior tarsal bulbar conjunctiva.
0,Adelpha bredowii,adelpha californica commonly known california sister species butterfly family nymphalidae. they common california also found western nevada oregon well northern baja california. the upper surfaces wings dark brown black wide cream white bands dissecting wings two orange patches near tips forewings. the underside variously colored browns blue orange white. a. californica unpalatable predators part large mimicry complex.
0,Marburg multiple sclerosis,marburg'variant multiple sclerosis also known marburg multiple sclerosis acute fulminant multiple sclerosis considered one multiple sclerosis borderline diseases collection diseases classified ms variants others different diseases. other diseases group neuromyelitis optica (nmo) balo concentric sclerosis schilder'disease.[1] the graver course one form malignant multiple sclerosis patients reaching significant level disability less five years first symptoms often matter months.[2]
0,Adenoma sebaceum,adenoma sebaceum misnamed cutaneous disorder consisting angiofibromas begin childhood (generally present 25 years age) appear clinically red papules face[1]:195 mostly thought acne responding treatment. adenoma sebaceum may times associated tuberous sclerosis.[2] gradually papules become prominent time persist throughout life.[3]
0,Marijuana addiction,cannabis dependence cannabis use disorder defined fifth revision diagnostic statistical manual mental disorders (dsm-5) condition requiring treatment.[1]
0,Adelaide Technical High School,glenunga international high school (informally known glenunga gihs) publicly funded school adelaide south australia. it located approximately four km south-east adelaide city centre suburb glenunga l'estrange st conyngham st adjoining major thoroughfare glen osmond road. the school serves surrounding suburbs cities unley burnside adelaide hills.
0,Aden Bare Duale,aden bare duale (somali: aadan barre ducaale arabic:  _ ___) majority leader national assembly kenya.
0,Adewale Ademoyega,adewale ademoyega one five rebellious majors led 1966 coup ended first nigerian civilian government. he born ode remo present day ogun state southwestern nigeria. he died age 72 february 21 2007. he wife three children.[1]
0,Adelaide Livingstone,dame adelaide stickney lord livingstone dbe (died 1970) responsible organising peace ballot 1934-35 gauge british public'sentiment winds upcoming war rearming aggressive germany led adolf hitler.
0,Craniopagus parasiticus,craniopagus parasiticus extremely rare type parasitic twinning occurring 4 6 10000000 births.[1] in craniopagus parasiticus parasitic twin head undeveloped body attached head developed twin. fewer dozen cases type conjoined twin documented literature. most infants condition stillborn die shortly birth.[citation needed]
0,Congenital chordee,chordee (/krdi/[1]) condition head penis curves downward upward junction head shaft penis. the curvature usually obvious erection resistance straightening often apparent flaccid state well. in many cases chordee associated hypospadias. this condition peyronie'disease involves curvature shaft penis commonly due injury adult life.
0,Aden Jefferies,aden jefferies fictional character australian channel seven soap opera home away played todd lasance. he debuted -screen episode airing 4 august 2005. aden introduced 2005 recurring character part cassie turner'(sharni vinson) storylines. lasance offered role previously auditioning separate character. in 2007 lasance asked return another guest contract though promoted regular cast soon .
0,petechiae,petechia /ptiki/ petechiae /ptikii/
0,pox,"""pox"" liquor commonly used ceremonial purposes among mayans mexico central america. ""pox"" liquor made corn sugar cane wheat important mayan culture ceremonial uses also known aguardiente. besides religious significance also somewhat popular alcoholic drink chiapas region southern mexico. the word ""pox"" tzotzil means ""medicine cane liquor cure."" [1] pox commonly used religious ceremonies festivals san juan chamula chiapas increasingly soda substituted ."
0,PSA,"piscis austrinus (also known piscis australis) constellation southern celestial hemisphere. the name latin ""southern fish"" contrast larger constellation pisces represents pair fishes. prior 20th century also known piscis notius. its star brighter 4th magnitude fomalhaut first-magnitude star 18th brightest star night sky."
0,Adebisi,simon adebisi fictional character played adewale akinnuoye-agbaje hbo dramatic series oz. adebisi serves one main characters first four seasons. after first half season four character killed show akinnuoye-agbaje could film movie the mummy returns.[1]
0,FH1,fh1 faderhead'debut album released march 31 2006.
0,FT3,finlayson lake airport (tc lid: cft3) located adjacent south side robert campbell highway near ross river yukon canada.
0,Adelphi Victory,usns adelphi (t-ag-181) one 12 ships scheduled acquired united states navy february 1966 converted forward depot ships service military sea transport service. the adelphi victory (mcv-760) chosen conversion assigned name adelphi program cancelled ships acquired navy.
0,Hemopneumothorax,hemopneumothorax haemopneumothorax medical term describing combination two conditions: pneumothorax air chest cavity hemothorax (also called h_mothorax) blood chest cavity.
0,Adelophryne gutturosa,"adelophryne gutturosa (common name: guiana shield frog) species frog family eleutherodactylidae (formerly leptodactylidae). it found guiana shield eastern venezuela guyana[2] french guiana adjacent brazil possibly extending suriname. its type locality mount roraima.[3][4] its local spanish name ranita guturosa[1] roughly meaning ""drop-splattered frog"" reference coloration."
0,Congenital onychodysplasia of the index fingers,congenital onychodysplasia index fingers defined presence condition birth either unilateral bilateral index finger involvement variable distortion nail lunula polyonychia micronychia anonychia hemionychogryphosis malalignment.[1]
0,Secondary anetoderma,"anetoderma (also known ""anetoderma maculosa""[1] ""anetoderma maculosa cutis""[1] ""atrophia maculosa cutis""[1] ""macular atrophy""[2]) localized laxity skin herniation outpouching resulting abnormal dermal elastic tissue.[2] anetoderma comes three types:"
0,Platybasia,platybasia spinal disease malformed relationship occipital bone cervical spine. it may caused paget'disease. platybasia also feature gorlin-goltz syndrome commonly known basal cell nevus syndrome.
0,Myelokathexis,myelokathexis congenital disorder white blood cells causes severe chronic leukopenia (reduction circulating white blood cells) neutropenia (reduction neutrophil granulocytes).[2] the disorder believed inherited autosomal dominant manner.[2][3] myelokathexis refers retention (kathexis) neutrophils bone marrow (myelo).
0,Adelina Abranches,adelina abranches (august 15 1866  november 21 1945) portuguese stage actress born lisbon. she considered[?] child prodigy performing roles state age four. she notable acting career rio de janeiro.
0,Adelfors Folkhoegskola,delfors folkh_gskola (delfors folk high school) swedish folk high school specialized teaching disabled people people special needs. the school located holsbybrunn vetlanda. [1] it offers courses variety subjects students come country.
0,Adecco ASVEL,asvel basket asvel french professional basketball team located city villeurbanne suburb lyon france. the club basketball section asvel multi-sport club competes french pro a league. the club'home games played l'astroballe. the players wear green white uniforms.
0,Hyphema,hyphema (hyphaema see spelling differences) blood front (anterior) chamber eye. it may appear reddish tinge may appear small pool blood bottom iris cornea.
0,Autotopagnosia,"autotopagnosia greek gnosis meaning without knowledge topos meaning ""place"" autotopagnosia virtually translates lack knowledge ones space clinically described .[1]"
0,Fetor hepaticus,fetor hepaticus foetor hepaticus (see spelling differences) also known breath dead hepatic foetor condition seen portal hypertension portosystemic shunting allows thiols pass directly lungs. it late sign liver failure one clinical features hepatic encephalopathy. other possible causes presence ammonia ketones breath. the breath sweet fecal smell .
0,agalactia,lactation failure deficiency also known agalactia agalactorrhea well hypogalactia hypogalactorrhea medical condition lactation insufficient fails completely due inadequacy breast milk production /failure milk let-reflex response suckling following childbirth resulting inability properly breastfeed.[1][2]
0,Pneumopericardium,pneumopericardium medical condition air enters pericardial cavity. this condition recognized preterm neonates associated severe lung pathology vigorous resuscitation presence assisted ventilation.[2] this serious complication untreated may lead cardiac tamponade death. pneumomediastiunum presence air mediastinum may mimic also coexist pneumopericardium.
0,Bilirubinuria,in medicine bilirubinuria abnormality conjugated bilirubin detected urine.[1]
